11012,-30.00,2004-05-27 00:00:00.000,1942-02-18 00:00:00.000,M,greater than 100000,F,2,4,Graduate Degree,Management,0,3,81.26,Non,11012
11013,7.69,2003-08-06 00:00:00.000,1942-06-20 00:00:00.000,M,25001-50000,M,1,0,"Bachelors ",Clerical,1,0,113.96,Non,11013
11014,2369.65,2003-07-24 00:00:00.000,1977-11-27 00:00:00.000,S,25001-50000,F,0,0,Partial High School,Clerical,0,2,138.45,Non,11014
11015,2674.9436,2003-01-02 00:00:00.000,1972-11-03 00:00:00.000,M,75001-100000,M,0,0,"Bachelors ",Professional,1,3,2500.97,Oui,11015
11016,-14.00,2004-06-28 00:00:00.000,1962-09-21 00:00:00.000,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,2332.28,Oui,11016
11021,2272.67,2002-10-17 00:00:00.000,1971-05-19 00:00:00.000,S,25001-50000,F,2,2,Partial College,Clerical,1,1,2371.96,Oui,11021
11022,-539.99,2004-01-03 00:00:00.000,1956-06-03 00:00:00.000,S,75001-100000,M,2,0,High School,Skilled Manual,0,2,2322.28,Oui,11022
11023,-4.00,2004-07-02 00:00:00.000,1977-09-12 00:00:00.000,S,25001-50000,F,0,0,Partial High School,Clerical,0,2,122.24,Non,11023
11024,2306.98,2004-04-29 00:00:00.000,1939-11-10 00:00:00.000,M,75001-100000,F,5,0,"Bachelors ",Management,1,2,56.51,Non,11024
11036,3067.3404,2003-03-08 00:00:00.000,1970-03-04 00:00:00.000,M,75001-100000,M,4,4,Graduate Degree,Management,1,1,2354.98,Oui,11036
11040,10.00,2003-09-23 00:00:00.000,1971-09-07 00:00:00.000,M,greater than 100000,M,0,5,Partial High School,Management,1,4,2350.96,Oui,11040
11041,-2049.0964,2002-09-03 00:00:00.000,1970-03-16 00:00:00.000,M,0-25000,M,2,2,High School,Manual,1,0,2380.47,Oui,11041
11042,1726.49,2004-04-16 00:00:00.000,1941-11-04 00:00:00.000,M,50001-75000,M,3,0,Graduate Degree,Management,1,2,3112.33,Oui,11042
11043,7.97,2003-11-04 00:00:00.000,1950-04-15 00:00:00.000,M,greater than 100000,M,4,5,High School,Management,0,3,47.98,Non,11043
11049,1165.49,2003-08-13 00:00:00.000,1955-01-25 00:00:00.000,M,75001-100000,F,3,2,Partial College,Professional,1,1,81.26,Non,11049
11053,-29.99,2003-11-05 00:00:00.000,1958-09-07 00:00:00.000,M,0-25000,M,1,0,"Bachelors ",Manual,1,0,2329.98,Oui,11053
11062,24.00,2004-05-21 00:00:00.000,1957-09-17 00:00:00.000,M,0-25000,M,1,0,Partial College,Manual,1,0,2351.96,Oui,11062
